,title,release_date,critic_score,user_score,genres
0,Star Wars Ep. VII: The Force Awakens,"December 18, 2015",81,6.8,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
1,Avatar,"December 18, 2009",83,7.5,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
2,Black Panther,"February 16, 2018",88,6.6,"['Action', 'Adventure', 'Sci-Fi', 'Drama']"
3,Avengers: Infinity War,"April 27, 2018",68,8.6,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
4,Titanic,"December 19, 1997",75,8.5,"['Drama', 'Romance']"
5,Jurassic World,"June 12, 2015",59,6.8,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6,The Avengers,"May 4, 2012",69,8.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
7,Star Wars Ep. VIII: The Last Jedi,"December 15, 2017",85,4.5,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
8,Incredibles 2,"June 15, 2018",80,8.0,"['Action', 'Adventure', 'Sci-Fi', 'Comedy', 'Animation', 'Family']"
9,The Dark Knight,"July 18, 2008",84,8.9,"['Action', 'Drama', 'Thriller', 'Crime']"
10,Rogue One: A Star Wars Story,"December 16, 2016",65,7.6,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy', 'War']"
11,Beauty and the Beast,"March 17, 2017",65,6.8,"['Fantasy', 'Romance', 'Family', 'Musical']"
12,Finding Dory,"June 17, 2016",77,7.4,"['Adventure', 'Comedy', 'Animation', 'Family']"
13,Star Wars Ep. I: The Phantom Menace,"May 19, 1999",51,6.0,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
14,Star Wars Ep. IV: A New Hope,"May 25, 1977",90,8.8,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
15,Avengers: Age of Ultron,"May 1, 2015",66,7.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller', 'Fantasy']"
16,The Dark Knight Rises,"July 20, 2012",78,8.2,"['Action', 'Adventure', 'Drama', 'Thriller', 'Crime']"
17,Shrek 2,"May 19, 2004",75,8.7,"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']"
18,ET: The Extra-Terrestrial,"June 11, 1982",91,8.3,"['Adventure', 'Sci-Fi', 'Drama', 'Fantasy', 'Family']"
19,The Hunger Games: Catching Fire,"November 22, 2013",76,7.9,"['Action', 'Adventure', 'Sci-Fi', 'Drama', 'Thriller']"
20,Pirates of the Caribbean: Dead Manâs Chest,"July 7, 2006",53,7.2,"['Action', 'Adventure', 'Fantasy']"
21,The Lion King,"June 15, 1994",83,8.8,"['Adventure', 'Drama', 'Animation', 'Family', 'Musical']"
22,Jurassic World: Fallen Kingdom,"June 22, 2018",51,5.6,"['Action', 'Adventure', 'Sci-Fi']"
23,Toy Story 3,"June 18, 2010",92,8.9,"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']"
24,Wonder Woman,"June 2, 2017",76,7.7,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy', 'War']"
25,Iron Man 3,"May 3, 2013",62,6.5,"['Action', 'Adventure', 'Sci-Fi', 'Thriller', 'Fantasy']"
26,Captain America: Civil War,"May 6, 2016",75,8.2,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
27,The Hunger Games,"March 23, 2012",68,7.0,"['Action', 'Adventure', 'Sci-Fi', 'Drama', 'Thriller']"
28,Jumanji: Welcome to the Jungle,"December 20, 2017",58,6.7,"['Action', 'Adventure', 'Fantasy', 'Comedy', 'Family']"
29,Spider-Man,"May 3, 2002",73,8.6,"['Action', 'Adventure', 'Fantasy']"
30,Transformers: Revenge of the Fallen,"June 24, 2009",35,5.3,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
31,Frozen,"November 27, 2013",74,7.5,"['Action', 'Adventure', 'Mystery', 'Thriller', 'Fantasy', 'Comedy', 'Romance', 'Animation', 'Family', 'Musical']"
32,Jurassic Park,"June 11, 1993",68,8.8,"['Adventure', 'Sci-Fi', 'Thriller']"
33,Guardians of the Galaxy Vol 2,"May 5, 2017",67,7.7,"['Action', 'Adventure', 'Sci-Fi', 'Comedy']"
34,Harry Potter and the Deathly Hallows: Part II,"July 15, 2011",87,8.1,"['Adventure', 'Mystery', 'Fantasy']"
35,Finding Nemo,"May 30, 2003",90,8.7,"['Adventure', 'Comedy', 'Animation', 'Family']"
36,Star Wars Ep. III: Revenge of the Sith,"May 19, 2005",68,7.6,"['Action', 'Sci-Fi', 'Fantasy']"
37,The Lord of the Rings: The Return of the King,"December 17, 2003",94,9.1,"['Action', 'Adventure', 'Fantasy']"
38,Beauty and the Beast,"November 22, 1991",95,8.7,"['Fantasy', 'Romance', 'Animation', 'Family', 'Musical']"
39,Spider-Man 2,"June 30, 2004",83,8.6,"['Action', 'Sci-Fi', 'Thriller', 'Fantasy']"
40,The Passion of the Christ,"February 25, 2004",47,6.5,"['Drama', 'History']"
41,The Secret Life of Pets,"July 8, 2016",61,6.2,"['Adventure', 'Comedy', 'Animation', 'Family']"
42,Despicable Me 2,"July 3, 2013",62,7.2,"['Adventure', 'Sci-Fi', 'Comedy', 'Crime', 'Animation', 'Family']"
43,The Jungle Book,"April 15, 2016",77,7.5,"['Adventure', 'Drama', 'Fantasy', 'Family', 'Musical']"
44,Deadpool,"February 12, 2016",65,8.1,"['Action', 'Adventure', 'Sci-Fi', 'Thriller', 'Fantasy', 'Comedy', 'Romance']"
45,Inside Out,"June 19, 2015",94,8.7,"['Adventure', 'Drama', 'Fantasy', 'Comedy', 'Animation', 'Family']"
46,Furious 7,"April 3, 2015",67,6.8,"['Action', 'Adventure', 'Thriller', 'Crime']"
47,Transformers: Dark of the Moon,"June 29, 2011",42,5.7,"['Action', 'Adventure', 'Sci-Fi']"
48,American Sniper,"December 25, 2014",72,6.6,"['Action', 'Biography', 'Drama', 'War']"
49,The Lord of the Rings: The Two Towers,"December 18, 2002",87,9.0,"['Action', 'Adventure', 'Fantasy']"
50,Zootopia,"March 4, 2016",78,8.7,"['Action', 'Adventure', 'Comedy', 'Crime', 'Animation', 'Family']"
51,The Hunger Games: Mockingjay - Part 1,"November 21, 2014",64,6.3,"['Action', 'Adventure', 'Sci-Fi', 'Drama', 'Thriller']"
52,Spider-Man 3,"May 4, 2007",59,6.7,"['Action', 'Thriller']"
53,Minions,"July 10, 2015",56,5.6,"['Comedy', 'Animation', 'Family']"
54,Spider-Man: Homecoming,"July 7, 2017",73,7.6,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy', 'Family']"
55,Alice in Wonderland,"March 5, 2010",53,5.8,"['Adventure', 'Fantasy', 'Family']"
56,Guardians of the Galaxy,"August 1, 2014",76,8.6,"['Action', 'Adventure', 'Sci-Fi']"
57,Batman v Superman: Dawn of Justice,"March 25, 2016",44,7.0,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
58,Forrest Gump,"July 6, 1994",82,7.7,"['Drama', 'Romance']"
59,It,"September 8, 2017",69,7.8,"['Adventure', 'Drama', 'Thriller', 'Horror']"
60,Suicide Squad,"August 5, 2016",40,6.1,"['Action', 'Adventure', 'Sci-Fi', 'Thriller', 'Fantasy', 'Comedy', 'Crime']"
61,Deadpool 2,"May 18, 2018",66,7.7,"['Action', 'Adventure', 'Sci-Fi', 'Comedy']"
62,Shrek the Third,"May 18, 2007",58,6.5,"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']"
63,Transformers,"July 3, 2007",61,6.9,"['Action', 'Adventure', 'Sci-Fi', 'Thriller', 'Comedy']"
64,Iron Man,"May 2, 2008",79,8.5,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
65,Harry Potter and the Sorcererâs Stone,"November 16, 2001",64,7.8,"['Adventure', 'Mystery', 'Fantasy', 'Family']"
66,Indiana Jones and the Kingdom of the Crystal Skull,"May 22, 2008",65,5.4,"['Action', 'Adventure', 'Thriller']"
67,The Lord of the Rings: The Fellowship of the Ring,"December 19, 2001",92,9.1,"['Action', 'Adventure', 'Fantasy']"
68,Thor: Ragnarok,"November 3, 2017",74,7.7,"['Action', 'Adventure', 'Sci-Fi', 'Drama', 'Fantasy', 'Comedy']"
69,Iron Man 2,"May 7, 2010",57,6.4,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
70,Star Wars Ep. II: Attack of the Clones,"May 16, 2002",54,6.0,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
71,Pirates of the Caribbean: At Worldâs End,"May 25, 2007",50,6.3,"['Action', 'Adventure', 'Fantasy']"
72,Star Wars Ep. VI: Return of the Jedi,"May 25, 1983",58,8.3,"['Action', 'Adventure', 'Sci-Fi', 'Thriller', 'Fantasy']"
73,Independence Day,"July 3, 1996",59,6.9,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
74,Pirates of the Caribbean: The Curse of the Black Pearl,"July 9, 2003",63,8.8,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Family']"
75,Skyfall,"November 9, 2012",81,7.7,"['Action', 'Adventure', 'Thriller', 'Crime']"
76,The Hobbit: An Unexpected Journey,"December 14, 2012",58,8.0,"['Adventure', 'Fantasy']"
77,Harry Potter and the Half-Blood Prince,"July 15, 2009",78,7.2,"['Action', 'Adventure', 'Mystery', 'Fantasy', 'Romance', 'Family']"
78,The Twilight Saga: Eclipse,"June 30, 2010",58,5.1,"['Sci-Fi', 'Drama', 'Thriller', 'Fantasy', 'Romance']"
79,The Twilight Saga: New Moon,"November 20, 2009",44,4.1,"['Drama', 'Fantasy', 'Romance']"
80,Harry Potter and the Deathly Hallows: Part I,"November 19, 2010",65,7.6,"['Action', 'Adventure', 'Mystery', 'Fantasy']"
81,Aquaman,"December 21, 2018",55,7.3,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
82,The Sixth Sense,"August 6, 1999",64,8.9,"['Drama', 'Mystery', 'Thriller']"
83,Up,"May 29, 2009",88,8.8,"['Adventure', 'Drama', 'Comedy', 'Animation', 'Family']"
84,Inception,"July 16, 2010",74,8.8,"['Action', 'Sci-Fi', 'Drama', 'Mystery', 'Thriller']"
85,"The Twilight Saga: Breaking Dawn, Part 2","November 16, 2012",52,4.8,"['Adventure', 'Drama', 'Thriller', 'Fantasy', 'Romance']"
86,Harry Potter and the Order of the Phoenix,"July 11, 2007",71,7.3,"['Adventure', 'Mystery', 'Fantasy', 'Family']"
87,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","December 9, 2005",75,5.8,"['Adventure', 'Fantasy', 'Family']"
88,Man of Steel,"June 14, 2013",55,7.5,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']"
89,Star Wars Ep. V: The Empire Strikes Back,"May 21, 1980",82,9.0,"['Action', 'Adventure', 'Sci-Fi']"
90,Harry Potter and the Goblet of Fire,"November 18, 2005",81,7.8,"['Adventure', 'Mystery', 'Fantasy', 'Family']"
91,"Monsters, Inc.","November 2, 2001",78,8.7,"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']"
92,Home Alone,"November 16, 1990",63,8.7,"['Comedy', 'Crime', 'Family']"
93,The Hunger Games: Mockingjay - Part 2,"November 20, 2015",65,6.7,"['Action', 'Adventure', 'Sci-Fi', 'Drama', 'Thriller', 'War']"
94,The Matrix Reloaded,"May 15, 2003",62,7.7,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
95,"The Twilight Saga: Breaking Dawn, Part 1","November 18, 2011",45,4.6,"['Drama', 'Thriller', 'Fantasy', 'Romance']"
96,Meet the Fockers,"December 22, 2004",41,7.0,"['Comedy', 'Romance']"
97,The Hangover,"June 5, 2009",73,7.8,"['Comedy', 'Crime']"
98,Gravity,"October 4, 2013",96,7.8,"['Sci-Fi', 'Drama', 'Mystery', 'Thriller']"
99,Sing,"December 21, 2016",59,6.2,"['Drama', 'Comedy', 'Music', 'Animation', 'Family', 'Musical']"
